Year of År,Region,Index
2004,Västra Götaland,106.274602931
2007,Västra Götaland,102.433791056
2010,Västra Götaland,108.205726431
2013,Västra Götaland,103.739750123
2015,Västra Götaland,105.600232559
2017,Västra Götaland,105.003663431
2019,Västra Götaland,108.590263577
2021,Västra Götaland,108.660655269
2004,Västmanland,78.186074504
2007,Västmanland,77.412177263
2010,Västmanland,84.748721400
2013,Västmanland,88.296333345
2015,Västmanland,87.496901200
2017,Västmanland,85.306679998
2019,Västmanland,92.512754561
2021,Västmanland,92.415802021
2004,Västernorrland,85.956070504
2007,Västernorrland,81.155477160
2010,Västernorrland,84.836237126
2013,Västernorrland,82.7
2015,Västernorrland,82.953261843
2017,Västernorrland,80.581907181
2019,Västernorrland,77.087457396
2021,Västernorrland,80.467842063
2004,Västerbotten,100.712763336
2007,Västerbotten,110.342040933
2010,Västerbotten,102.256101311
2013,Västerbotten,101.111677805
2015,Västerbotten,102.937272242
2017,Västerbotten,102.899774810
2019,Västerbotten,102.894730576
2021,Västerbotten,104.193991448
2004,Värmland,76.782798424
2007,Värmland,80.633331079
2010,Värmland,85.757863220
2013,Värmland,78.939407762
2015,Värmland,76.732465762
2017,Värmland,78.310705687
2019,Värmland,80.380560546
2021,Värmland,82.080457692
2004,Uppsala,138.527144716
2007,Uppsala,141.718881191
2010,Uppsala,125.753276274
2013,Uppsala,117.157150087
2015,Uppsala,120.255829343
2017,Uppsala,121.967713202
2019,Uppsala,115.998535086
2021,Uppsala,118.128191350
2004,Stockholm,117.892804453
2007,Stockholm,118.126172168
2010,Stockholm,122.941675066
2013,Stockholm,118.547676265
2015,Stockholm,118.760318327
2017,Stockholm,119.780255837
2019,Stockholm,119.953666808
2021,Stockholm,117.006007046
2004,Södermanland,74.477963511
2007,Södermanland,78.880825699
2010,Södermanland,80.932681810
2013,Södermanland,84.545911143
2015,Södermanland,80.102025181
2017,Södermanland,79.482255344
2019,Södermanland,82.669713016
2021,Södermanland,75.798960490
2004,Skåne,102.165297407
2007,Skåne,102.212849199
2010,Skåne,104.999119235
2013,Skåne,101.776242905
2015,Skåne,104.681127400
2017,Skåne,101.866610158
2019,Skåne,101.558674294
2021,Skåne,101.032401335
2004,Östergötland,105.569987358
2007,Östergötland,104.510521215
2010,Östergötland,106.101143146
2013,Östergötland,106.452644296
2015,Östergötland,100.129673420
2017,Östergötland,101.109832825
2019,Östergötland,100.266385473
2021,Östergötland,101.235346485
2004,Örebro,72.060071072
2007,Örebro,77.559577545
2010,Örebro,83.302930414
2013,Örebro,81.831373454
2015,Örebro,80.121226453
2017,Örebro,75.945517188
2019,Örebro,77.448707254
2021,Örebro,80.368775708
2004,Norrbotten,86.259401431
2007,Norrbotten,88.374365655
2010,Norrbotten,90.816179113
2013,Norrbotten,83.913982780
2015,Norrbotten,84.040176951
2017,Norrbotten,84.807802655
2019,Norrbotten,83.606724369
2021,Norrbotten,86.561768961
2004,Kronoberg,78.051746461
2007,Kronoberg,79.660283942
2010,Kronoberg,83.551908530
2013,Kronoberg,83.756372337
2015,Kronoberg,89.501696201
2017,Kronoberg,88.832904796
2019,Kronoberg,86.492778842
2021,Kronoberg,84.634128137
2004,Kalmar,70.472681729
2007,Kalmar,72.406622358
2010,Kalmar,76.265951080
2013,Kalmar,72.015031617
2015,Kalmar,76.166559561
2017,Kalmar,73.074070653
2019,Kalmar,73.028981346
2021,Kalmar,76.720748537
2004,Jönköping,78.485799663
2007,Jönköping,82.353266100
2010,Jönköping,82.160818931
2013,Jönköping,80.354859510
2015,Jönköping,81.153853740
2017,Jönköping,80.582735679
2019,Jönköping,80.547921232
2021,Jönköping,82.343183713
2004,Jämtland,88.719937942
2007,Jämtland,84.556930806
2010,Jämtland,83.371324863
2013,Jämtland,81.199896107
2015,Jämtland,82.098922767
2017,Jämtland,76.417021567
2019,Jämtland,80.555522336
2021,Jämtland,82.988321668
2004,Halland,69.554514355
2007,Halland,73.006380930
2010,Halland,82.153385251
2013,Halland,79.691617465
2015,Halland,82.716330496
2017,Halland,80.547302497
2019,Halland,79.162581678
2021,Halland,80.227535306
2004,Gotland,69.046451119
2007,Gotland,72.139288675
2010,Gotland,78.005140446
2013,Gotland,78.172964346
2015,Gotland,72.901703839
2017,Gotland,73.740239451
2019,Gotland,77.352144228
2021,Gotland,87.337447616
2004,Gävleborg,77.314258326
2007,Gävleborg,77.844830424
2010,Gävleborg,82.126790726
2013,Gävleborg,81.976771999
2015,Gävleborg,79.368875257
2017,Gävleborg,75.182085211
2019,Gävleborg,74.520813827
2021,Gävleborg,74.166201336
2004,Dalarna,77.776674208
2007,Dalarna,73.424358139
2010,Dalarna,78.874962777
2013,Dalarna,75.472486238
2015,Dalarna,77.249187542
2017,Dalarna,73.824683534
2019,Dalarna,73.404277460
2021,Dalarna,75.469415030
2004,Blekinge,78.465923923
2007,Blekinge,79.043925826
2010,Blekinge,81.479677722
2013,Blekinge,79.030786249
2015,Blekinge,76.121148955
2017,Blekinge,71.748168768
2019,Blekinge,73.830620881
2021,Blekinge,88.325740404
